# Water vapour absoprtion lines extraced from HITRAN Online Database with HAPI
# Reference:
# R.V. Kochanov, I.E. Gordon, L.S. Rothman, P. Wcislo, C. Hill, J.S. Wilzewski,
# HITRAN Application Programming Interface (HAPI):
# A comprehensive approach to working with spectroscopic data,
# J. Quant. Spectrosc. Radiat. Transfer 177, 15-30 (2016)
# https://hitran.org/hapi/
frequency,absorption_lin,absorption_log
557075814438.6443,0.01079438309023436,-1.9668021729835592
752240704596.6442,0.007321402622558898,-2.1354057095312684
1097301823754.6442,0.035910678816494804,-1.4447763853648332
1162956372056.644,0.04138991017569569,-1.3831055161032757
1207625448298.6443,0.014077677552759722,-1.8514689864733667
1410584942364.6443,0.03321599413445993,-1.478652744858765
1602152323026.6443,0.016641464710612383,-1.7788084516185143
1669905418534.644,0.09873313317780646,-1.005537080951714
1716673041982.644,0.09332201894579006,-1.030015874169635
1762241495598.6443,0.008356547876289502,-2.0779730943201202
1796118043352.6443,0.017775013376667623,-1.750190063767774
1867768440814.6445,0.03846071005090571,-1.4149827021998875
1919332743590.6443,0.028405639060521078,-1.5465954356655158
2040448896622.6443,0.019017538150522196,-1.7208457038467224
2074325444376.6443,0.012061413418250552,-1.9186017963601305
2164263181776.6445,0.061052317597972694,-1.2142978452177655
2196340974782.644,0.053523927141829644,-1.271452029144275
2221823333712.6445,0.055201093619491694,-1.2580523181366392
2264393862748.644,0.0747266458902406,-1.1265245106389348
2344138656576.644,0.022085415829824505,-1.6558944193216842
2391505864940.645,0.07264349576173296,-1.138803264796707
2463156262402.644,0.06419870923307242,-1.192473703684876
2640633397538.6445,0.2826615890490354,-0.5487332038820224
2685602266238.6445,0.025657148513061716,-1.5907916119461196
2774041041348.6445,0.2064369628005531,-0.6852125391034584
2880467363938.644,0.05814623691706067,-1.235478386507981
2970105308880.644,0.14927642622040266,-0.8260087707796315
3012675837916.644,0.3632162669804235,-0.43983470943059433
3043854253548.6445,0.0493879720424745,-1.3063788063722601
3134991160780.6445,0.11319077710953712,-0.9461889584270293
3167068953786.6445,0.09430894717045438,-1.025447103419289
3230325162424.6445,0.04144952899357072,-1.3824804001355506
3331355220770.644,0.09527721179851951,-1.0210109605747666
3495641487754.644,0.013635630728490758,-1.8653247685718002
3536713054500.6445,0.042476977136092095,-1.3718463972897383
3599669470680.644,0.132204309097263,-0.8787543891267456
3654831282952.6445,0.40073736802064613,-0.39714015851940054
3691405962828.644,0.017937575019220997,-1.7462362695949312
3807425644074.645,0.29079128056472753,-0.5364186200255087
3855092644896.6445,0.01662562300949327,-1.7792220714675326
3922845740404.644,0.01023187129809235,-1.9900449312815367
3953424571120.644,0.047044100302194164,-1.3274948327437508
3977108175302.644,0.22279799133871164,-0.6520887289132365
3999892402110.6436,0.031141322697376416,-1.506662945140659
4166876801216.6445,0.39005544884994353,-0.4088736508764885
4190560405398.644,0.13418633126051144,-0.8722917208322228
4218441103992.645,0.09119917543740473,-1.0400090882571538
4468767806422.644,0.20074904457812306,-0.6973465129754903
4512537505290.644,0.6113473887918914,-0.21371193842722871
4535621524556.645,0.16036836910267216,-0.7948812874161097
4571896411974.645,0.010026646567234222,-1.9988442933866286
4600676487942.644,0.23344678448219813,-0.6318121037047127
4690014640426.644,0.027268412928934067,-1.5643401380489794
4734383924210.645,0.33675121698551863,-0.47269082610493146
4764063377552.644,0.021033888845620307,-1.677080425456431
4802137019718.644,0.01032924657344655,-1.9859313552400972
4997901494792.644,0.06294541134958329,-1.2010359239864756
5107325741962.644,0.4899098677110709,-0.30988381294353085
5201460573774.645,0.06097410879227917,-1.2148545386882612
5276708480732.644,0.26138208435033455,-0.5827241831458133
5322576726806.644,0.17160911318842811,-0.7654596529537665
5368744765338.644,0.014416456727494982,-1.841141467271731
5437996823136.645,0.14483921180090367,-0.8391138472315075
5500353654400.645,0.00861370799796296,-2.0648098547724967
5641855694576.644,0.1156014503954387,-0.9370367169986725
5800445904858.643,0.10141468761536869,-0.9938991427504535
5827427226078.644,0.19274547967506717,-0.715015798362322
5869697962656.645,0.024832251830877873,-1.604983896096597
5920962472974.644,0.03482636687643411,-1.45809182924016
6076554758676.644,0.8833073130022293,-0.05388817397454304
6249235214484.643,0.35899526771997786,-0.4449112762591355
6372449914722.644,0.13658754292810996,-0.8645889074207999
6432408406322.644,0.06690635285198158,-1.1745326434045247
6645860636418.644,0.11478361875243907,-0.9401200874872864
6706718505392.644,0.07513929026016558,-1.12413291144923
6783465374640.644,0.1825570942418876,-0.7386012855286058
6806249601448.644,0.011467548250905095,-1.9405294238528148
6829933205630.644,0.5795934330191325,-0.2368765438697908
6917172810908.645,0.07616931215758696,-1.118219966259224
6958843962570.645,0.013007277421650856,-1.88581359694266
6995118849988.644,0.013210032002428757,-1.8790961302687899
7321592836750.644,0.020600040325156978,-1.6861319294863797
7355169592046.645,0.06960636826980736,-1.1573510250745538
7432216253752.645,0.31789888472413674,-0.49771099570587146
7459497367430.645,0.04222763140539483,-1.3744032779503208
7491874952894.645,0.020548205223496197,-1.6872261054459057
7613590690842.645,1.0,0.0
7980236866976.643,0.053338162344809946,-1.2729619510993986
8021308433722.643,0.008384016169073989,-2.0765478927967944
8278830155144.643,0.0224639249635393,-1.6485143602258252
8341786571324.644,0.4216483668496948,-0.37504957746551376
8404742987504.644,0.07228231857896465,-1.1409679251495635
8462003346982.645,0.18376939220527483,-0.7357268210417726
8537551046398.644,0.006761771286051864,-2.169939523142192
8677554124284.644,0.09725057917490504,-1.012107803557871
8715627766450.645,0.010161356284180358,-1.9930483208489909
8946467959110.645,0.011166250785355455,-1.9520926224579216
9049596564662.645,0.07067929425364262,-1.1507077956576175
9083173319958.643,0.6955615396847098,-0.1576644398442593
9446221986596.643,0.026118292160443944,-1.5830552243932956
